product_type;mission;level;origin_level;instrument;mode;type;groups;published_by;consumed_by
SR_2_SSBSAX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SD01AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SD02AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SD03AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SD04AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SD05AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SD06AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SD07AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SD08AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SD09AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SD10AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SD11AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SD12AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SI01AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SI02AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SI03AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SI04AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SI05AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SI06AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SI07AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SI08AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SI09AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
SR_2_SI10AX;S3;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|_|_
