product_type;mission;level;origin_level;instrument;mode;type;groups;published_by;consumed_by
MPL_ORBRES;S1;AUX;AUX;;;;AUX;AUXIP|_|_|_|_;AUXIP|_|_|_
MPL_TLEPRE;S1;AUX;AUX;;;;AUX;AUXIP|_|_|_|_;AUXIP|_|_|_
TLM_REQ_B;S1;AUX;AUX;;;;AUX;AUXIP|_|_|_|_;AUXIP|_|_|_
TLM_REQ_C;S1;AUX;AUX;;;;AUX;AUXIP|_|_|_|_;AUXIP|_|_|_
TLM_REQ_D;S1;AUX;AUX;;;;AUX;AUXIP|_|_|_|_;AUXIP|_|_|_
TLM_REQ_E;S1;AUX;AUX;;;;AUX;AUXIP|_|_|_|_;AUXIP|_|_|_
TLM_REQ_F;S1;AUX;AUX;;;;AUX;AUXIP|_|_|_|_;AUXIP|_|_|_
AMALFI_REPORT;S1;Quality;Quality;;;;OLQC;_|PRIP|_|_|_;_|_|_|_
MSI_L0__DS;S2;L0_;L0_;MSI;;Datastrip;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
MSI_L0__GR;S2;L0_;L0_;MSI;;Granule;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
MSI_L1A_DS;S2;L1_;L1A;MSI;;Datastrip;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
MSI_L1A_GR;S2;L1_;L1A;MSI;;Granule;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
MSI_L1B_DS;S2;L1_;L1B;MSI;;Datastrip;PRODUCT;_|PRIP|_|DA|_;_|_|LTA|DA
MSI_L1B_GR;S2;L1_;L1B;MSI;;Granule;PRODUCT;_|PRIP|_|DA|_;_|_|LTA|DA
MSI_L1C_DS;S2;L1_;L1C;MSI;;Datastrip;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
MSI_L1C_TL;S2;L1_;L1C;MSI;;Tile;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
MSI_L1C_TC;S2;L1_;L1C;MSI;;True Color Image;PRODUCT;_|PRIP|_|DA|Bundled in MSI_L1C___;_|_|_|DA
MSI_L2A_DS;S2;L2_;L2A;MSI;;Datastrip;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
MSI_L2A_TL;S2;L2_;L2A;MSI;;Tile;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
MSI_L2A_TC;S2;L2_;L2A;MSI;;True Color Image;PRODUCT;_|PRIP|_|DA|Bundled in MSI_L2A___;_|_|_|DA
PRD_HKTM__;S2;L0_;L0_;HTKM;;Housekeeping Telemetry Data;PRODUCT;_|PRIP|LTA|_|_;_|_|LTA|_
AUX_SADATA;S2;AUX;AUX;SAD;;Satellite Ancillary Data;PRODUCT|AUX;_|PRIP|LTA|_|_;_|_|LTA|_
AUX_PREORB;S2;AUX;AUX;;;;AUX;AUXIP|_|LTA|_|_;AUXIP|_|LTA|_
AUX_RESORB;S2;AUX;AUX;;;;AUX;AUXIP|_|LTA|_|_;AUXIP|_|LTA|_
AUX_GNSSRD;S2;AUX;AUX;;;;AUX;_|_|_|DA|_;_|_|_|DA
AUX_PROQUA;S2;AUX;AUX;;;;AUX;_|_|_|DA|_;_|_|_|DA
AUX_ECMWFD;S2;AUX;AUX;;;;AUX;AUXIP|_|LTA|DA|_;_|PRIP|LTA|DA
AUX_UT1UTC;S2;AUX;AUX;;;;AUX;AUXIP|_|LTA|DA|_;_|PRIP|LTA|DA
AUX_CAMSFO;S2;AUX;AUX;;;;AUX;AUXIP|_|LTA|DA|_;_|PRIP|LTA|DA
AUX_CAMSAN;S2;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|LTA|DA
AUX_CAMSRE;S2;AUX;AUX;;;;AUX;_|_|_|_|_;_|PRIP|LTA|DA
GIP_ATMIMA;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_ATMSAD;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_DATATI;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_LREXTR;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_INVLOC;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_VIEDIR;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_SPAMOD;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_BLINDP;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_CLOINV;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_CLOPAR;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_PRDLOC;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_R2PARA;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_R2SWIR;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_R2EQOG;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
